"file_x,file_y,Decision"
"img20.jpg,img21.jpg,Yes"
"img16.jpg,img17.jpg,Yes"
"img3.jpg,img12.jpg,Yes"
"img22.jpg,img23.jpg,Yes"
"img24.jpg,img25.jpg,Yes"
"img1.jpg,img2.jpg,Yes"
"img1.jpg,img4.jpg,Yes"
"img1.jpg,img5.jpg,Yes"
"img1.jpg,img6.jpg,Yes"
"img1.jpg,img7.jpg,Yes"
"img1.jpg,img10.jpg,Yes"
"img1.jpg,img11.jpg,Yes"
"img2.jpg,img4.jpg,Yes"
"img2.jpg,img5.jpg,Yes"
"img2.jpg,img6.jpg,Yes"
"img2.jpg,img7.jpg,Yes"
"img2.jpg,img10.jpg,Yes"
"img2.jpg,img11.jpg,Yes"
"img4.jpg,img5.jpg,Yes"
"img4.jpg,img6.jpg,Yes"
"img4.jpg,img7.jpg,Yes"
"img4.jpg,img10.jpg,Yes"
"img4.jpg,img11.jpg,Yes"
"img5.jpg,img6.jpg,Yes"
"img5.jpg,img7.jpg,Yes"
"img5.jpg,img10.jpg,Yes"
"img5.jpg,img11.jpg,Yes"
"img6.jpg,img7.jpg,Yes"
"img6.jpg,img10.jpg,Yes"
"img6.jpg,img11.jpg,Yes"
"img7.jpg,img10.jpg,Yes"
"img7.jpg,img11.jpg,Yes"
"img10.jpg,img11.jpg,Yes"
"img13.jpg,img14.jpg,Yes"
"img13.jpg,img15.jpg,Yes"
"img14.jpg,img15.jpg,Yes"
"img18.jpg,img19.jpg,Yes"
"img8.jpg,img9.jpg,Yes"
"img68.webp,img69.jpg,Yes"
"img70.webp,img71.webp,Yes"
"img72.webp,img71.webp,Yes"
"img70.webp,img72.webp,Yes"
"img73.webp,img74.png,Yes"
"img79.webp,img78.jpg,Yes"
"img80.webp,img75.jpg,Yes"
"img81.webp,img76.jpg,Yes"
"img82.jpg,img83.jpg,Yes"
"img84.webp,img85.webp,Yes"
"img84.webp,img86.jpg,Yes"
"img85.webp,img86.jpg,Yes"
"img87.png,img88.webp,Yes"
"img89.webp,img90.jpg,Yes"
"img89.webp,img118.jpg,Yes"
"img90.jpg,img118.jpg,Yes"
"img92.webp,img91.jpg,Yes"
"img93.jpg,img94.jpg,Yes"
"img95.jpg,img96.jpg,Yes"
"img95.jpg,img97.jpg,Yes"
"img96.jpg,img97.jpg,Yes"
"img98.jpg,img99.jpg,Yes"
"img98.jpg,img100.webp,Yes"
"img99.jpg,img100.webp,Yes"
"img101.jpg,img102.webp,Yes"
"img104.jpg,img105.webp,Yes"
"img105.webp,img106.webp,Yes"
"img104.jpg,img106.webp,Yes"
"img108.jpg,img107.webp,Yes"
"img110.jpg,img109.webp,Yes"
"img111.jpg,img113.jpg,Yes"
